Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Zip_Code,Mean,Median,Cost,Cost_Per_Unit,Profit_Per_Unit,Profit_Margin
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,42420,45524.0,30487.0,220.04639999999998,110.02319999999999,20.9568,0.16000000000000003
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,42420,45524.0,30487.0,512.3580000000001,170.78600000000003,73.194,0.3
CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,152.94,3,0.0,41.2938,42420,45524.0,30487.0,111.6462,37.215399999999995,13.7646,0.26999999999999996
CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,4,0.0,70.98,42420,45524.0,30487.0,212.94,53.235,17.745,0.25
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,South,OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,10.67,1,0.0,4.9082,42420,45524.0,30487.0,5.7618,5.7618,4.9082,0.46
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,South,OFF-ST-10004258,Office Supplies,Storage,Portable Personal File Box,36.63,3,0.0,9.8901,42420,45524.0,30487.0,26.739900000000002,8.913300000000001,3.2967,0.27
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,South,FUR-FU-10002885,Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,24.1,5,0.0,9.158,42420,45524.0,30487.0,14.942000000000002,2.9884000000000004,1.8316,0.37999999999999995
CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,South,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7,0.0,12.9129,42420,45524.0,30487.0,20.1971,2.8853,1.8447,0.39
CA-2015-109470,12/31/2015,1/3/2016,Second Class,KC-16255,Karen Carlisle,Corporate,United States,Henderson,Kentucky,South,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,94.74,3,0.0,44.5278,42420,45524.0,30487.0,50.212199999999996,16.737399999999997,14.8426,0.47000000000000003
CA-2015-109470,12/31/2015,1/3/2016,Second Class,KC-16255,Karen Carlisle,Corporate,United States,Henderson,Kentucky,South,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",60.64,4,0.0,27.8944,42420,45524.0,30487.0,32.745599999999996,8.186399999999999,6.9736,0.46
